Accession	TDL	Gene Symbol01	Ratio 2h	Ratio 6h	Ratio 10h 	Ratio 24h	P value 2h	P value 6h	P value 10h	P value 24h	Ratio 2h	Ratio 6h	Ratio 10h 	Ratio 24h	Count	Selected	Quantity_Change	Source
Q06481	Tbio	APLP2	-0.296606573	-0.169745587	-0.703047669	-2.360180365	0.331357795	0.61799855	0.111108639	0.010724011	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P19075	Tbio	TSPAN8	-0.154650995	-0.262345983	-0.246853122	-2.135717358	0.650523361	0.441081464	0.336081887	0.003546671	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P60903	Tbio	S100A10	-0.192588425	-0.249753443	-0.439323374	-1.852165955	0.02041545	0.216376823	0.306049675	0.001280395	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P47914	Tbio	RPL29	-0.027054946	-0.19642437	-0.43866346	-1.771046831	0.743732008	0.21947759	0.023613606	0.001072966	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
Q9UHD8	Tbio	SEPTIN9	-0.437035044	-0.432697583	-1.036062214	-3.344327653	0.37695595	0.102088281	0.061376927	0.000803785	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P10619	Tchem	CTSA	-0.112984141	-0.238545384	-0.673739224	-2.209337769	0.790344013	0.487641566	0.098562319	0.003252966	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P21964	Tclin	COMT	-0.067182763	-0.184621938	-0.247492343	-1.679888301	0.734223804	0.462957393	0.329806983	0.032511891	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P84243	Tbio	H3F3A	-0.169137087	-0.131057704	-0.442594666	-2.445589503	0.170401835	0.194672082	0.014747494	0.00010009	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P84243	Tbio	H3F3AP4	-0.169137087	-0.131057704	-0.442594666	-2.445589503	0.170401835	0.194672082	0.014747494	0.00010009	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P84243	Tbio	H3F3B	-0.169137087	-0.131057704	-0.442594666	-2.445589503	0.170401835	0.194672082	0.014747494	0.00010009	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P11166	Tchem	SLC2A1	-0.20378133	-0.001154909	-0.458854806	-1.278118198	0.204835715	0.990913629	0.084659271	0.031569367	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P27635	Tbio	RPL10	-0.183216468	-0.07246307	-0.491723622	-2.969765164	0.718771689	0.851182921	0.224196267	0.018946474	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P05091	Tclin	ALDH2	-0.7749931	-0.352738643	-0.649907171	-2.632782022	0.118392247	0.296659329	0.006508737	0.004345089	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
O14880	Tbio	MGST3	-0.073405276	-0.408116788	-0.705116277	-3.496472791	0.923695497	0.648622895	0.436059237	0.036159152	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
O75348	Tbio	ATP6V1G1	-0.023433964	-0.085897649	-0.350366792	-2.105487488	0.898699406	0.494730073	0.014113877	0.000292492	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
O43291	Tbio	SPINT2	-0.003816372	-0.112666212	-0.151574474	-2.650400104	0.990254315	0.705089185	0.661314273	0.003993069	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P08865	Tbio	RPSA	-0.295281665	-0.14926108	-0.636108611	-1.810042754	0.245172649	0.426649555	0.014510948	0.019038944	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P12830	Tbio	CDH1	-0.13460857	-0.058200004	-0.233413807	-1.733737625	0.303238169	0.489260862	0.206494737	0.005722309	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P46977	Tbio	STT3A	-0.237485571	-0.041741145	-0.697087582	-2.616014971	0.618272433	0.921785697	0.175867269	0.027865797	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
Q9BZL1	Tbio	UBL5	-0.14279131	-0.188304009	-0.391161792	-1.922364838	0.329149155	0.102141712	0.002844654	0.002695579	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P61457	Tbio	PCBD1	-0.056111976	-0.06157097	-0.43842983	-2.072407063	0.771572032	0.528342859	0.000272246	0.005260156	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
Q8IZP9	Tbio	GPR64	-0.137130924	-0.178200168	-0.198624741	-2.081063201	0.49321556	0.079758076	0.456780184	0.004483058	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
Q8IZP9	Tbio	ADGRG2	-0.137130924	-0.178200168	-0.198624741	-2.081063201	0.49321556	0.079758076	0.456780184	0.004483058	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P38117	Tbio	ETFB	-0.786504062	-0.417526707	-1.331192328	-1.632852907	0.125928306	0.069446037	0.035170081	0.018509548	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P61604	Tbio	HSPE1	-0.405585235	-0.227221019	-0.652841983	-2.169553448	0.493401524	0.555879905	0.160078148	0.034622234	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
O00762	Tbio	UBE2C	-0.559670436	-0.598108019	-0.583392907	-8.591414666	0.387283285	0.466562793	0.448802792	0.000149085	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P13667	Tbio	PDIA4	-0.414508505	-0.21576961	-0.985357695	-3.944859612	0.764450002	0.755992657	0.49097462	0.045798106	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
Q9NZ01	Tbio	TECR	-0.597953328	-1.312547635	-1.035254063	-4.121668614	0.513231154	0.017828597	0.161564748	0.000998425	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
Q8WYA6	Tbio	CTNNBL1	-0.508307862	-0.033379266	-0.811753487	-1.218157614	0.577756061	0.962984765	0.219240616	0.037680916	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
Q14011	Tbio	CIRBP	-0.819692439	-0.561297047	-1.115574647	-3.494066345	0.191670117	0.028513619	0.055316142	0.000541774	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
O43676	Tclin	NDUFB3	-0.540025832	-0.205599056	-1.032879015	-3.324718444	0.127440986	0.52629733	0.037172261	0.003380981	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P04040	Tbio	CAT	-0.204890079	-0.264334637	-1.639891339	-0.961767411	0.267626915	0.593294628	0.1312253	0.001399098	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
Q8NAM6	Tbio	ZSCAN4	-0.170077746	-0.068881479	-0.161805807	-1.407343164	0.475060929	0.748697799	0.160198572	0.031060665	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
Q9UM00	Tbio	TMCO1	-0.201807533	-0.357869762	-0.375133327	-6.29047984	0.587267374	0.3769111	0.305348048	0.003373431	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
Q15785	Tbio	TOMM34	-0.036194921	-0.292708653	-0.507427577	-2.210493325	0.940584477	0.532637071	0.386647283	0.035740282	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
Q9H3K2	Tbio	GHITM	-0.122407438	-0.141678663	-0.965240153	-1.732462015	0.569450172	0.734065335	0.00486878	0.00672625	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
Q16890	Tbio	TPD52L1	-0.561885692	-0.31513448	-0.371093135	-1.370519949	0.439853902	0.394791889	0.25577732	0.036405458	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P63208	Tbio	SKP1	-0.188429534	-0.042903873	-0.953191119	-2.967387156	0.502306675	0.691026677	0.003350994	0.003734682	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
Q8IXH7	Tbio	NELFCD	-0.042066708	-0.913290182	-0.314498645	-8.35794269	0.944044886	0.061168803	0.487761061	0.000109319	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
Q8IXH7	Tbio	TH1L	-0.042066708	-0.913290182	-0.314498645	-8.35794269	0.944044886	0.061168803	0.487761061	0.000109319	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
Q14641	Tbio	INSL4	-0.154036758	-0.539592896	-0.171745574	-4.619622303	0.843531328	0.568743496	0.892310791	0.040944065	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P63302	Tbio	SEPW1	-0.193536347	-0.205058547	-0.36539742	-3.56311612	0.655395495	0.669676678	0.478525593	0.006842793	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P63302	Tbio	SELENOW	-0.193536347	-0.205058547	-0.36539742	-3.56311612	0.655395495	0.669676678	0.478525593	0.006842793	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
Q8NFH5	Tbio	NUP35	-0.335268527	-0.001004635	-0.831462903	-1.996084497	0.603658671	0.996587664	0.072722664	0.045602009	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
Q86SE5	Tdark	RALYL	-0.272002844	-0.764273379	-0.240220206	-2.247358238	0.463705059	0.15387816	0.584330533	0.009465312	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P46926	Tbio	GNPDA1	-1.288590767	-0.243580617	-0.563867741	-0.995196749	0.114397836	0.505167118	0.092550396	0.000668378	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P21912	Tbio	SDHB	-0.559813952	-0.501196834	-1.448238583	-1.698820249	0.299803273	0.5060675	0.11250717	0.030792297	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
Q93008	Tbio	USP9X	-0.008606894	-0.451796435	-0.353265365	-2.675431859	0.995452368	0.626537163	0.838491933	0.027133641	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
Q9GZT3	Tbio	SLIRP	-0.206996697	-0.899249079	-1.372603369	-2.499327362	0.750825338	0.295162811	0.131413537	0.008942185	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
Q9HD33	Tbio	MRPL47	-0.019836993	-0.373195629	-0.500736238	-2.744545428	0.961984747	0.465430494	0.407905328	0.008056648	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
Q9UKM9	Tbio	RALY	-0.685236804	-0.873680957	-1.465583701	-5.902657197	0.629064676	0.477401813	0.333969141	0.025547418	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
Q9P2E9	Tbio	RRBP1	-0.135448009	-0.16330434	-0.440900077	-2.140369962	0.09277534	0.258607911	0.032700276	1.99439E-05	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
